sat_id,x0_m,y0_m,vx0_ms,vy0_ms,euler_class,euler_energy,euler_final_x_m,euler_final_y_m,rk4_class,rk4_energy,rk4_final_x_m,rk4_final_y_m
177,7061909.091,0.000,0.000,5181.818,3,-4.302894e+07,5932812.784,2578693.134,3,-4.301810e+07,5930802.760,2583042.252
178,7085285.714,0.000,0.000,5181.818,3,-4.284286e+07,5911539.081,2631523.325,3,-4.283188e+07,5909501.947,2635842.482
179,7108662.338,0.000,0.000,5181.818,3,-4.265803e+07,5885192.550,2688232.794,3,-4.264688e+07,5883125.760,2692518.482
180,7132038.961,0.000,0.000,5181.818,3,-4.247441e+07,5858132.224,2744537.038,3,-4.246309e+07,5856036.632,2748788.986
181,7155415.584,0.000,0.000,5181.818,3,-4.229195e+07,5835029.330,2796308.605,3,-4.228050e+07,5832908.967,2800529.957
182,7178792.208,0.000,0.000,5181.818,3,-4.211072e+07,5806670.334,2851833.974,3,-4.209910e+07,5804522.805,2856021.140
183,7202168.831,0.000,0.000,5181.818,3,-4.193062e+07,5782447.319,2902900.606,3,-4.191888e+07,5780276.537,2907056.847
184,7225545.455,0.000,0.000,5181.818,3,-4.175172e+07,5752852.590,2957637.151,3,-4.173983e+07,5750656.259,2961758.827
185,7248922.078,0.000,0.000,5181.818,3,-4.157395e+07,5727567.739,3007991.572,3,-4.156193e+07,5725349.650,3012082.054
186,7272298.701,0.000,0.000,5181.818,3,-4.139731e+07,5701806.065,3058007.174,3,-4.138517e+07,5699566.933,3062066.364
187,7295675.325,0.000,0.000,5181.818,3,-4.122180e+07,5675580.687,3107683.014,3,-4.120955e+07,5673321.220,3111710.832
188,7319051.948,0.000,0.000,5181.818,3,-4.104744e+07,5643769.372,3160862.238,3,-4.103505e+07,5641487.471,3164854.962
189,7342428.571,0.000,0.000,5181.818,3,-4.087416e+07,5616592.751,3209815.944,3,-4.086166e+07,5614291.969,3213777.138
190,7365805.195,0.000,0.000,5181.818,3,-4.070198e+07,5588991.764,3258427.553,3,-4.068937e+07,5586672.792,3262357.177
191,7389181.818,0.000,0.000,5181.818,3,-4.053088e+07,5560978.911,3306696.689,3,-4.051817e+07,5558642.435,3310594.712
192,7412558.442,0.000,0.000,5181.818,3,-4.036087e+07,5532566.544,3354623.107,3,-4.034805e+07,5530213.243,3358489.512
